time,price
09:30:02,6409.46
09:30:06,6409.46
09:30:07,6416.35
09:30:12,6418.35
09:30:17,6417.74
09:30:22,6415.46
09:30:27,6415.48
09:30:32,6414.44
09:30:37,6414.46
09:30:42,6414.41
09:30:47,6415.38
09:30:52,6415.48
09:30:57,6416.69
09:31:02,6418.47
09:31:06,6418.47
09:31:07,6418.67
09:31:12,6419.12
09:31:17,6420
09:31:22,6419.14
09:31:27,6417.9
09:31:32,6417.7
09:31:37,6417.66
09:31:42,6418.32
09:31:47,6418.42
09:31:52,6419.23
09:31:57,6418.47
09:32:02,6418.44
09:32:06,6418.44
09:32:07,6418.43
09:32:12,6419.32
09:32:17,6419.71
09:32:22,6421.4
09:32:27,6422.32
09:32:32,6421.26
09:32:37,6421.49
09:32:42,6421.58
09:32:47,6419.14
09:32:52,6416.83
09:32:57,6415.79
09:33:02,6415.83
09:33:05,6415.83
09:33:07,6415.53
09:33:12,6414.74
09:33:17,6415.61
09:33:22,6415.72
09:33:27,6415.5
09:33:32,6415.09
09:33:37,6415.28
09:33:42,6416.71
09:33:47,6415.12
09:33:52,6415.21
09:33:57,6413.38
09:34:02,6415.41
09:34:06,6415.41
09:34:07,6415.91
09:34:12,6417.89
09:34:17,6417.62
09:34:22,6416.55
09:34:27,6414.95
09:34:32,6413.47
09:34:37,6412.75
09:34:42,6411.68
09:34:47,6411.95
09:34:52,6411.39
09:34:57,6410.71
09:35:02,6409.87
09:35:06,6409.87
09:35:07,6411.09
09:35:12,6413.91
09:35:17,6416.19
09:35:22,6417.5
09:35:27,6417.86
09:35:32,6416.54
09:35:37,6416.3
09:35:42,6416.13
09:35:47,6417.03
09:35:52,6416.84
09:35:57,6417.16
09:36:02,6416.62
09:36:06,6416.62
09:36:07,6415.85
09:36:12,6416.13
09:36:17,6414.74
09:36:22,6413.51
09:36:27,6411.19
09:36:32,6410.01
09:36:37,6409.16
09:36:42,6410.25
09:36:47,6410.12
09:36:52,6410.29
09:36:57,6407.54
09:37:02,6406.61
09:37:06,6406.61
09:37:07,6406.38
09:37:12,6406.04
09:37:17,6406.38
09:37:22,6406.42
09:37:27,6407.67
09:37:32,6409.37
09:37:37,6409.27
09:37:42,6409.63
09:37:47,6408.94
09:37:52,6408.02
09:37:57,6407.45
09:38:02,6406.99
09:38:06,6406.99
09:38:07,6406.45
09:38:12,6405.89
09:38:17,6406.01
09:38:22,6406.14
09:38:27,6406.46
09:38:32,6407.15
09:38:37,6407.56
09:38:42,6408.4
09:38:47,6408.2
09:38:52,6406.92
09:38:57,6407.11
09:39:02,6407.08
09:39:06,6407.08
09:39:07,6407.64
09:39:12,6408.28
09:39:17,6408.94
09:39:22,6410.79
09:39:27,6410.78
09:39:32,6411.96
09:39:37,6412.63
09:39:42,6413.09
09:39:47,6414.25
09:39:52,6415.54
09:39:57,6417.02
09:40:02,6418.43
09:40:06,6418.43
09:40:07,6421.43
09:40:12,6423.04
09:40:17,6423.5
09:40:22,6423.26
09:40:27,6422.86
09:40:32,6422.43
09:40:37,6422.05
09:40:42,6423.01
09:40:47,6423.82
09:40:52,6424.3
09:40:57,6425.07
09:41:02,6426.1
09:41:06,6426.1
09:41:07,6427.03
09:41:12,6428.4
09:41:17,6428.7
09:41:22,6428.32
09:41:27,6428.13
09:41:32,6427.78
09:41:37,6428.01
09:41:42,6427.71
09:41:47,6427.61
09:41:52,6427.88
09:41:57,6426.83
09:42:02,6426.85
09:42:06,6426.85
09:42:07,6427.06
09:42:12,6426.97
09:42:17,6426.47
09:42:22,6425.11
09:42:27,6424.64
09:42:32,6423.18
09:42:37,6423.53
09:42:42,6423.13
09:42:47,6423.35
09:42:52,6423
09:42:57,6423.52
09:43:02,6421.68
09:43:06,6421.68
09:43:07,6421.4
09:43:12,6419.89
09:43:17,6419.34
09:43:22,6419.23
09:43:27,6419.02
09:43:32,6418.15
09:43:37,6417.89
09:43:42,6417.48
09:43:47,6417.68
09:43:52,6417.42
09:43:57,6417.02
09:44:02,6415.79
09:44:06,6415.79
09:44:07,6414.41
09:44:12,6413.37
09:44:17,6413.37
09:44:22,6412.5
09:44:27,6411.65
09:44:32,6410.69
09:44:37,6409.82
09:44:42,6409.11
09:44:47,6408.46
09:44:52,6407.58
09:44:57,6406.19
09:45:02,6406.99
09:45:06,6406.99
09:45:07,6407.05
09:45:12,6407.34
09:45:17,6408.18
09:45:22,6410.4
09:45:27,6412.71
09:45:32,6414.95
09:45:37,6413.94
09:45:42,6413.17
09:45:47,6411.83
09:45:52,6410.79
09:45:57,6410.33
09:46:02,6409.35
09:46:06,6409.35
09:46:07,6409.63
09:46:12,6408.68
09:46:17,6407.98
09:46:22,6406.54
09:46:27,6406
09:46:32,6405.08
09:46:37,6404.89
09:46:42,6408.16
09:46:47,6411.08
09:46:52,6414.06
09:46:57,6414.42
09:47:02,6413.97
09:47:06,6413.97
09:47:07,6412.54
09:47:12,6410.82
09:47:17,6409.46
09:47:22,6407.89
09:47:27,6408.5
09:47:32,6408.75
09:47:37,6409.88
09:47:42,6412.63
09:47:47,6412.22
09:47:52,6413.72
09:47:57,6414.75
09:48:02,6414.13
09:48:06,6414.13
09:48:07,6415.54
09:48:12,6415.7
09:48:17,6416.29
09:48:22,6418
09:48:27,6417.2
09:48:32,6416.8
09:48:37,6416.56
09:48:42,6415.72
09:48:47,6414.92
09:48:52,6414.27
09:48:57,6413.6
09:49:02,6413.41
09:49:06,6413.41
09:49:07,6414.58
09:49:12,6414.33
09:49:17,6417.87
09:49:22,6422.88
09:49:27,6427.06
09:49:32,6430.52
09:49:37,6431.49
09:49:42,6433.38
09:49:47,6435.66
09:49:52,6434.76
09:49:57,6434.69
09:50:02,6435.72
09:50:06,6435.72
09:50:07,6438.39
09:50:12,6439.84
09:50:17,6440.05
09:50:22,6439.5
09:50:27,6438.85
09:50:32,6439.65
09:50:37,6439.38
09:50:42,6439.64
09:50:47,6439.93
09:50:52,6441.02
09:50:57,6441.51
09:51:02,6442.32
09:51:06,6442.32
09:51:07,6443.37
09:51:12,6442.66
09:51:17,6442.26
09:51:22,6439.66
09:51:27,6437.88
09:51:32,6437.44
09:51:37,6436.85
09:51:42,6436.59
09:51:47,6434.86
09:51:52,6437.22
09:51:57,6438.05
09:52:02,6437.76
09:52:06,6437.76
09:52:07,6437.4
09:52:12,6437.67
09:52:17,6437.1
09:52:22,6435.66
09:52:27,6435.63
09:52:32,6435.01
09:52:37,6434.39
09:52:42,6435.1
09:52:47,6435.74
09:52:52,6436.23
09:52:57,6437.05
09:53:02,6438.08
09:53:06,6438.08
09:53:07,6438.53
09:53:12,6439.65
